01KVH1ZAXGRCC8D6W0J3TR17X1	CDP-ES-45-C74TA5QM	aecs	HERMANOS VIÑARAS TOLEDO, S.A.	45	\N	https://www.hermanosvinaras.com	2026-06-19 23:03:06.929102+00
01KVH1ZAY6AP7T033GYG709J58	CDP-ES-48-AHXCFSMQ	aecs	KAREALDE. S.A.	48	\N	https://www.karealde.com	2026-06-19 23:03:06.951732+00
01KVH1ZAYN5GKDD0KDK2YJQP0Q	CDP-ES-33-G9EYCWZG	aecs	LOZAUTO, S.A.	33	\N	https://www.lozauto.com	2026-06-19 23:03:06.966152+00
01KVH1ZAYXV3WDYA6F5K3CJ2FB	CDP-ES-08-9Y4W4S2B	aecs	MAAS EXCLUSIVAS PONT S.A.U.	08	\N	https://maas.es/leapmotor	2026-06-19 23:03:06.973627+00
01KVH1ZAZCR5FQ6TDYP95TAHDE	CDP-ES-28-G30E7GFK	aecs	MOTOR TRESCANTOS, S.A.	28	\N	https://www.motortrescantos.es	2026-06-19 23:03:06.98873+00
01KVH1ZAZM2907M3BA2YK588QJ	CDP-ES-28-QNDG5BFE	aecs	MOTORCAR NORTE, S.L.	28	\N	https://www.motorcarnorte.com	2026-06-19 23:03:06.99687+00
01KVH1ZB03X72AN2FQHDAEJEVH	CDP-ES-38-11XTDSV0	aecs	ORVECAME, TENERIFE, S.L.	38	\N	https://www.orvecame.com	2026-06-19 23:03:07.011477+00
01KVH1ZB0AVWKQHW0TQS93R528	CDP-ES-03-D4EFQ2AD	aecs	PEUMOVIL, S.L.	03	\N	https://www.peumovil.com	2026-06-19 23:03:07.01976+00
01KVH1ZB0TXB4GNPX0C6RTKYR4	CDP-ES-17-Z206A261	aecs	QUADIS ANDREU, S.L.	17	\N	https://www.quadis.es	2026-06-19 23:03:07.035574+00
01KVH1ZB12VXYADPFSRCD56K94	CDP-ES-26-SD1TT9AZ	aecs	RIOJANA DE AUTOMOCION, S.A.	26	\N	https://www.grupoagromotor.com/	2026-06-19 23:03:07.043545+00
01KVH1ZB2VNVZ0YK8WV9NYM5ZQ	CDP-ES-48-7PAQ3W40	aecs	URKIOLA MOTOR, S.L.U	48	\N	https://www.urkiolamotor.com	2026-06-19 23:03:07.099703+00
